Name,Position,Years,Height,Weight,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Draft_Status
Tyren Johnson,Forward,4,79,215,21,22.4,7.85714,4.70476,1.6381,0.92381,1.02857,1.80952,1.99048,0
Jejuan Plair,Guard,1,73,188,29,28.6897,10.7586,3.75862,5.48276,1.37931,0.172414,2.34483,2.75862,0
Kevin Dillard,Guard,4,72,182,24.2,31.5372,13.3388,2.43802,4.92562,1.22314,0.206612,2.90083,2.45455,0
Papa Ousmane Lo,Center,3,81,215,15.75,8.95238,0.936508,1.80952,0.238095,0.190476,1.38095,0.460317,1.15873,0
Chris Fowler,Guard,4,73,191,30,32.725,14.4417,3.14167,5.70833,1.54167,0.108333,2.725,2.74167,0
Brian Pegg,Forward,5,79,235,22.8,25.7895,9.54386,6.70175,1.01754,0.736842,0.508772,1.83333,2.28947,0
Ky Howard,Guard,4,76,185,28.25,27.9911,10.0796,4.72566,3.68142,0.752212,0.141593,2.82301,2.52212,0
George Hill,Guard,2,74,190,15,37.1333,21.5333,7.03333,4.1,1.7,0.433333,3,2.86667,1
Greg Mangano,Forward,4,82,240,25.25,23.8911,12.0099,7.24752,0.405941,0.346535,2.06931,1.39604,2.43564,0
Marcus Cousin,Center,2,82,240,27.5,22.5455,7.87273,6.14545,0.509091,0.4,1.56364,0.818182,2.12727,0
Bilal Dixon,Forward,4,81,245,25,21.248,6.24,6.152,0.384,0.44,1.432,1.12,2.56,0
B.J. Shearry,Forward,2,79,220,30,23.45,5.6,4.6,0.783333,1.13333,1.71667,1.18333,2.76667,0
Cedrick Lindsay,Guard,4,73,190,30.25,26.7273,10.5455,2.22314,2.93388,1.06612,0.0826446,1.72727,1.83471,0
Ish Smith,Guard,4,72,175,29,30.4741,9.27586,3.72414,4.98276,1.26724,0.198276,2.89655,1.92241,0
Jackson Emery,Guard,3,75,190,33.3333,29.77,11.21,3.96,2.7,2.36,0.28,1.07,2.68,0
Ridge Graham,Forward,2,77,208,20,28.8667,12.2333,5.93333,1.01667,1.25,0.35,3.06667,3.46667,0
Jeremy Underwood,Guard,4,72,185,32.5,21.2538,5.91538,1.86154,1.96154,0.746154,0.0153846,2.40769,2.46923,0
T.J. Dunans,Guard,2,77,187,23.5,26.0426,9.34043,3.14894,2.76596,1.19149,0.829787,2.57447,2.51064,0
Jermaine Ruttley,Guard,2,75,200,32,24.9688,9.65625,4.625,1.8125,1.01562,0.046875,1.45312,2.375,0
Meyers Leonard,Center,2,84,240,32.5,19.8462,7.72308,4.66154,0.738462,0.307692,1.12308,1.44615,2.21538,1
Menelik Barbary,Center,1,81,230,28,28.3571,12.8214,6.67857,0.607143,0.464286,1.71429,2.10714,2.89286,0
Malcolm Delaney,Guard,4,75,190,33,34.5682,16.6288,3.52273,4,1.30303,0.166667,2.76515,2.64394,0
Trevor Releford,Guard,4,72,190,33.5,32.5896,13.9776,3.12687,2.91791,1.95522,0.0820896,2.26119,2.42537,0
Billy Pettiford,Forward,4,79,220,22.6,27.6903,5.72566,5.10619,2.69027,1.36283,0.699115,2.21239,3.19469,0
Justin Hawkins,Guard,2,77,220,31.5,33.0317,17.0794,6.85714,2.42857,1.06349,0.412698,2.73016,2.88889,0
